SA4CODE,SA4,region,medEarn22
,,AUS,55062
,,NSW,55105
101,Capital Region,NSW,53266
102,Central Coast,NSW,50652
103,Central West,NSW,52426
104,Coffs Harbour - Grafton,NSW,43537
105,Far West and Orana,NSW,52961
106,Hunter Valley exc Newcastle,NSW,52472
107,Illawarra,NSW,54655
108,Mid North Coast,NSW,42059
109,Murray,NSW,49761
110,New England and North West,NSW,49145
111,Newcastle and Lake Macquarie,NSW,55659
112,Richmond - Tweed,NSW,42881
113,Riverina,NSW,53075
114,Southern Highlands and Shoalhaven,NSW,46401
115,Sydney - Baulkham Hills and Hawkesbury,NSW,63673
116,Sydney - Blacktown,NSW,58578
117,Sydney - City and Inner South,NSW,65262
118,Sydney - Eastern Suburbs,NSW,73183
119,Sydney - Inner South West,NSW,48907
120,Sydney - Inner West,NSW,62940
121,Sydney - North Sydney and Hornsby,NSW,71834
122,Sydney - Northern Beaches,NSW,64519
123,Sydney - Outer South West,NSW,56418
124,Sydney - Outer West and Blue Mountains,NSW,58001
125,Sydney - Parramatta,NSW,50297
126,Sydney - Ryde,NSW,61022
127,Sydney - South West,NSW,50523
128,Sydney - Sutherland,NSW,64610
,,VIC,54708
201,Ballarat,VIC,50725
202,Bendigo,VIC,51392
203,Geelong,VIC,54143
204,Hume,VIC,49603
205,Latrobe - Gippsland,VIC,47075
206,Melbourne - Inner,VIC,65472
207,Melbourne - Inner East,VIC,56146
208,Melbourne - Inner South,VIC,64999
209,Melbourne - North East,VIC,56949
210,Melbourne - North West,VIC,54183
211,Melbourne - Outer East,VIC,55405
212,Melbourne - South East,VIC,51587
213,Melbourne - West,VIC,55017
214,Mornington Peninsula,VIC,52448
215,North West,VIC,47364
216,Shepparton,VIC,48016
217,Warrnambool and South West,VIC,49740
,,QLD,54076
301,Brisbane - East,QLD,58671
302,Brisbane - North,QLD,62139
303,Brisbane - South,QLD,56683
304,Brisbane - West,QLD,64085
305,Brisbane Inner City,QLD,66000
306,Cairns,QLD,49187
307,Darling Downs - Maranoa,QLD,46810
308,Central Queensland,QLD,58155
309,Gold Coast,QLD,50843
310,Ipswich,QLD,54095
311,Logan - Beaudesert,QLD,52194
312,Mackay - Isaac - Whitsunday,QLD,60193
313,Moreton Bay - North,QLD,49994
314,Moreton Bay - South,QLD,59021
315,Queensland - Outback,QLD,56558
316,Sunshine Coast,QLD,48779
317,Toowoomba,QLD,53261
318,Townsville,QLD,58031
319,Wide Bay,QLD,43207
,,SA,53353
401,Adelaide - Central and Hills,SA,57789
402,Adelaide - North,SA,52300
403,Adelaide - South,SA,55167
404,Adelaide - West,SA,56127
405,Barossa - Yorke - Mid North,SA,48764
406,South Australia - Outback,SA,52922
407,South Australia - South East,SA,45628
,,WA,59426
501,Bunbury,WA,51687
502,Mandurah,WA,52417
503,Perth - Inner,WA,69194
504,Perth - North East,WA,60046
505,Perth - North West,WA,60482
506,Perth - South East,WA,58166
507,Perth - South West,WA,61836
509,Western Australia - Wheat Belt,WA,50353
510,Western Australia - Outback (North),WA,72649
511,Western Australia - Outback (South),WA,59816
,,TAS,50645
601,Hobart,TAS,53324
602,Launceston and North East,TAS,49247
603,South East,TAS,44634
604,West and North West,TAS,48888
,,NT,65301
701,Darwin,NT,69156
702,Northern Territory - Outback,NT,56499
,,ACT,72115
801,Australian Capital Territory,ACT,72122
,,,